"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Maq Acabamento.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Acabamento",750,720,729,754,716,758,718,720,737,716
"Maq Acabamento.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Acabamento",0.773750213868547,0.801034761842745,0.769531442960999,0.773249224088114,0.788486409691567,0.799377042281238,0.799145301944668,0.79322955217235,0.796269103582502,0.772362528742822
"Maq Borda.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Borda",752,722,730,756,718,762,719,721,738,717
"Maq Borda.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Borda",0.787463947145618,0.789638848702702,0.790971009663679,0.782493091688532,0.764268006690044,0.772558487330351,0.8017269373163,0.783713816221386,0.794960831752504,0.835361907976737
"Moedas.NumberIn","OUTPUT VALUE","Number In","Entity","Moedas",2001,2001,2001,2001,2001,2001,2001,2001,2001,2001
"Moedas.NumberOut","OUTPUT VALUE","Number Out","Entity","Moedas",749,719,728,753,715,757,717,720,736,716
"Prensa Cara.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Cara",757,727,736,760,723,765,725,726,742,724
"Prensa Cara.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Cara",0.831173761033923,0.790581707832615,0.783614567476389,0.817110038945104,0.770534486952442,0.793384116508827,0.758779179990349,0.825012023365156,0.811948480366669,0.773157746412991
"Prensa Coroa.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Coroa",754,723,731,757,720,764,720,723,739,723
"Prensa Coroa.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Coroa",0.79769204139337,0.779881911198384,0.79367669961246,0.801745586898144,0.765243768353733,0.779830053518224,0.788680214108472,0.8075521406785,0.768944295671259,0.759978271932255
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",749,719,728,753,715,757,717,720,736,716
"Throughput","OUTPUT VALUE","Output","User Specified","Throughput",0.374498127509362,0.359498202508987,0.3639981800091,0.376498117509412,0.357498212508937,0.378498107509462,0.358498207508962,0.359998200009,0.3679981600092,0.35799821000895
"Acabamento.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Acabamento.Queue",1.13988892316213,1.2105449035867,1.08252251733329,1.08879210495814,1.34442576709359,1.35616227015609,1.29000086729687,1.10835785928955,1.13838115641459,1.13289693346065
"Acabamento.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Acabamento.Queue",3.03386750059653,3.35590766992684,2.96988344947405,2.88706373394039,3.75394058692682,3.55605860625913,3.59331717909991,3.07877183135987,3.08858089519086,3.16451657391242
"Borda.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Borda.Queue",1.16974147279196,1.20231895952075,1.19214476650727,1.07434559186156,1.26114718194025,1.06018060293868,1.3596492731787,0.960900916273643,1.24779182738787,1.4720459469438
