"Statistic Name","Statistic Type","Database Data Type","Database Category","Database Identifier","Rep 1","Rep 2","Rep 3","Rep 4","Rep 5","Rep 6","Rep 7","Rep 8","Rep 9","Rep 10"
"Maq Acabamento.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Acabamento",793,785,794,791,773,801,782,771,781,778
"Maq Acabamento.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Acabamento",0.851018885433501,0.852561023113377,0.908510822193845,0.839393619980383,0.842752978176205,0.863539158970413,0.85389551558393,0.866237884967024,0.868713026309712,0.85365601644444
"Maq Borda.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Maq Borda",794,795,795,795,777,809,783,772,782,779
"Maq Borda.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Maq Borda",0.840992909837974,0.883941771360517,0.840144187769788,0.79982767300287,0.811277748316462,0.841396411319577,0.879985709814737,0.811767878769731,0.82103012174103,0.84907353951386
"Moedas.NumberIn","OUTPUT VALUE","Number In","Entity","Moedas",2001,2001,2001,2001,2001,2001,2001,2001,2001,2001
"Moedas.NumberOut","OUTPUT VALUE","Number Out","Entity","Moedas",792,784,793,790,772,800,781,771,780,777
"Prensa Cara.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Cara",800,796,804,800,784,812,788,776,788,787
"Prensa Cara.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Cara",0.853203304757061,0.873210765308622,0.85718561530324,0.869147105644273,0.862101930270323,0.828683158757941,0.861116807390919,0.864850689395537,0.817649632723922,0.846265688488647
"Prensa Coroa.NumberSeized","OUTPUT VALUE","Total Number Seized","Resource","Prensa Coroa",797,796,801,796,781,812,786,774,785,785
"Prensa Coroa.ScheduledUtilization","OUTPUT VALUE","Scheduled Utilization","Resource","Prensa Coroa",0.843109171400028,0.831436871092468,0.840949562661976,0.848475977983421,0.841136135898808,0.816766899692771,0.823094884575083,0.896257502117669,0.857684622905476,0.868065587724161
"System.NumberOut","OUTPUT VALUE","Number Out","System","System",792,784,793,790,772,800,781,771,780,777
"Throughput","OUTPUT VALUE","Output","User Specified","Throughput",0.3959980200099,0.3919980400098,0.396498017509912,0.394998025009875,0.38599807000965,0.39999800001,0.390498047509762,0.385498072509637,0.38999805000975,0.388498057509712
"Acabamento.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Acabamento.Queue",2.27530833606804,1.74778556857869,2.46051162694482,2.32037952087359,2.27813183344522,2.3624711355009,2.38767262006915,2.34915657016452,2.42440142301925,2.15254070689076
"Acabamento.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Acabamento.Queue",5.73848256259278,4.37779046901806,6.19776228449576,5.83877426754555,5.87776540139826,5.81986085417377,6.1065795909697,6.09379136229447,6.20845434832075,5.53352366809964
"Borda.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Borda.Queue",1.90915742313768,2.51315230574932,1.82756622532159,1.75910081487232,1.75889496483782,2.24604296268928,2.41769078831262,1.52467156258921,1.96018795050883,2.00073249223429
"Borda.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Borda.Queue",4.80217078234083,6.32239573773415,4.57221116329636,4.4254108550247,4.51615672920201,5.54702980598174,6.16800052739276,3.94847579866423,5.00269637440771,5.10032743255029
"Estampa Cara.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Estampa Cara.Queue",2.50217566425658,2.37471200711845,2.40632819411088,2.32917815898226,2.5128527611706,2.40962914882902,2.25449311820267,2.00103268782265,1.8674498181321,2.01489104235679
"Estampa Cara.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Estampa Cara.Queue",6.24988879109943,5.96661308321218,5.98282615850234,5.81794846953052,6.41033867645562,5.93504716460348,5.66897623131329,5.08735250272392,4.72332458922844,5.11089067159798
"Estampa Coroa.Queue.NumberInQueue","DSTAT AVERAGE","Number Waiting","Queue","Estampa Coroa.Queue",1.88712819772736,1.88940867057465,1.81709048302555,2.20149712866089,2.05944967422813,1.59663946093788,1.48745553637567,2.64959601914185,2.34947363852349,2.38013574099763
"Estampa Coroa.Queue.WaitingTime","TALLY AVERAGE","Waiting Time","Queue","Estampa Coroa.Queue",4.734427488197,4.74725796626796,4.53302599961239,5.51392390144835,5.26345824912267,3.93260950969921,3.78246333922841,6.84629456706703,5.98088613222004,6.06129505177507
"LeadTime","TALLY AVERAGE","Interval","User Specified","LeadTime",30.0558177198605,30.1449294156313,29.9266647726891,30.0790667784875,30.7014273549082,29.6239322810286,30.4520409884512,30.8209422378205,30.488487250939,30.6244113444968
